Year	Institution Name	Undergrads	RealWhite	RealBlack	RealHispanic	RealAsian	RealUnknown	American Indian	Multi-Racial
1996	Community College of the Air Force	44141	0.7966	0.1536	0.0302	0.0033	0	0	0
1996	Miami Dade College	41150	0.135	0.2065	0.6162	0.0008	0.0262	0	0
1996	University of Minnesota (Twin Cities)	37087	0.7679	0.0352	0.0175	0.0061	0.0921	0	0
1996	Ohio State University	35314	0.8016	0.0728	0.0183	0.0032	0.0533	0	0
1996	The University of Texas at Austin	34436	0.6482	0.042	0.1483	0.0044	0.0309	0	0
1996	Texas A&M University	34298	0.8021	0.0329	0.107	0.0032	0.0217	0	0
1996	Michigan State University	32050	0.8245	0.0813	0.0217	0.0055	0.0281	0	0
1996	Houston Community College System	31787	0.4161	0.2279	0.206	0.0035	0.0051	0	0
1996	Pennsylvania State University	31649	0.8851	0.03	0.0238	0.0013	0.0082	0	0
1996	Arizona State University	30680	0.7392	0.0291	0.1024	0.0214	0.0635	0	0
1996	Purdue University	29269	0.8726	0.0354	0.0205	0.0047	0.031	0	0
1996	University of Florida	28463	0.7547	0.066	0.1037	0.0027	0.0112	0	0
1996	Brigham Young University	28418	0.8689	0.0027	0.0195	0.0063	0.0839	0	0
1996	College of DuPage	26847	0.8224	0.0306	0.0394	0.0016	0.0266	0	0
1996	University of Wisconsin–Madison	26644	0.8699	0.0191	0.0213	0.005	0.0402	0	0
1996	University of Illinois at Urbana-Champaign	26311	0.7228	0.0723	0.0536	0.0022	0.0211	0	0
1996	Pima Community College	26139	0.5964	0.0389	0.2734	0.0345	0.0291	0	0
1996	Indiana University (Bloomington)	25451	0.8773	0.0383	0.0189	0.0023	0.0325	0	0
1996	University of Arizona	25158	0.7119	0.0263	0.1424	0.0217	0.0426	0	0
1996	Rutgers University (New Brunswick)	25157	0.5918	0.0832	0.0828	0.0033	0.0678	0	0
1996	University of Washington	25017	0.6707	0.0339	0.0381	0.016	0.0214	0	0
1996	University of South Florida	24313	0.7438	0.0963	0.0897	0.0031	0.0193	0	0
1996	San Diego State University	24239	0.4544	0.0586	0.208	0.0103	0.1158	0	0
1996	University of California (Los Angeles)	23912	0.3305	0.0601	0.1691	0.0097	0.0535	0	0
1996	University of Michigan	23590	0.6733	0.0881	0.044	0.007	0.0762	0	0
1997	Miami Dade College	41800	0.1198	0.2035	0.6352	0.0008	0.0249	0	0
1997	Community College of the Air Force	41694	0.7926	0.1599	0.0277	0.0035	0	0	0
1997	The University of Texas at Austin	35701	0.6546	0.0374	0.143	0.005	0.0291	0	0
1997	Ohio State University	35418	0.7943	0.076	0.0169	0.0039	0.0559	0	0
1997	Texas A&M University	33926	0.8009	0.0312	0.1056	0.0039	0.025	0	0
1997	Michigan State University	33032	0.8199	0.0838	0.0214	0.0062	0.0301	0	0
1997	Pennsylvania State University	32903	0.8773	0.0333	0.0256	0.0013	0.0095	0	0
1997	Arizona State University	32537	0.7329	0.0301	0.1047	0.0224	0.0624	0	0
1997	Houston Community College System	30710	0.3927	0.2366	0.2135	0.0029	0.0083	0	0
1997	University of Florida	30100	0.7554	0.067	0.1002	0.0032	0.0128	0	0
1997	Purdue University	29762	0.86	0.0389	0.0203	0.0058	0.0405	0	0
1997	Brigham Young University	29259	0.8818	0.0024	0.0196	0.0057	0.0709	0	0
1997	University of Wisconsin–Madison	27292	0.8718	0.0187	0.0214	0.0043	0.0397	0	0
1997	Pima Community College	26429	0.5932	0.0355	0.2745	0.0362	0.0318	0	0
1997	University of Illinois at Urbana-Champaign	26391	0.7187	0.0734	0.0534	0.0021	0.0234	0	0
1997	College of DuPage	26192	0.824	0.0297	0.0419	0.0017	0.0164	0	0
1997	University of Minnesota (Twin Cities)	26072	0.8046	0.0371	0.0191	0.0079	0.0469	0	0
1997	Rutgers University (New Brunswick)	25883	0.5669	0.0824	0.0816	0.0032	0.091	0	0
1997	Indiana University (Bloomington)	25852	0.8725	0.0386	0.0184	0.0025	0.0374	0	0
1997	University of Washington	25514	0.5876	0.0328	0.0403	0.016	0.1012	0	0
1997	San Diego State University	24899	0.4421	0.0562	0.2143	0.0094	0.1267	0	0
1997	University of Arizona	24769	0.6976	0.0256	0.1492	0.0237	0.0486	0	0
1997	University of Michigan	23939	0.6654	0.0879	0.0429	0.0071	0.0842	0	0
1997	University of California (Los Angeles)	23924	0.3349	0.0588	0.1649	0.0085	0.0561	0	0
1997	Salt Lake Community College	23590	0.8344	0.007	0.0475	0.0086	0.0672	0	0
1998	Miami Dade College	41172	0.1135	0.2079	0.6386	0.0008	0.0243	0	0
1998	The University of Texas at Austin	36107	0.6499	0.0355	0.1394	0.005	0.0323	0	0
1998	Ohio State University	36042	0.7979	0.0768	0.0173	0.0034	0.052	0	0
1998	Texas A&M University	35854	0.803	0.0296	0.1022	0.0045	0.0272	0	0
1998	Michigan State University	33835	0.8158	0.0857	0.0231	0.006	0.0296	0	0
1998	Pennsylvania State University	33614	0.8696	0.0371	0.0284	0.0013	0.0093	0	0
1998	Arizona State University	32310	0.7283	0.0301	0.1092	0.0226	0.0616	0	0
1998	Houston Community College System	31810	0.3721	0.2416	0.2208	0.0033	0.0117	0	0
1998	Purdue University	30873	0.8574	0.0368	0.02	0.0057	0.0475	0	0
1998	University of Florida	30578	0.7516	0.0686	0.1009	0.0031	0.013	0	0
1998	Brigham Young University	29460	0.8963	0.0027	0.0213	0.0054	0.052	0	0
1998	University of Minnesota (Twin Cities)	27580	0.8038	0.0384	0.021	0.0071	0.0477	0	0
1998	University of Wisconsin–Madison	27491	0.8722	0.0195	0.0226	0.0048	0.039	0	0
1998	University of Illinois at Urbana-Champaign	27070	0.7127	0.0743	0.0534	0.0023	0.0256	0	0
1998	Indiana University (Bloomington)	26792	0.8709	0.0393	0.019	0.0029	0.0386	0	0
1998	Rutgers University (New Brunswick)	26483	0.5644	0.0813	0.0794	0.0029	0.095	0	0
1998	College of DuPage	26257	0.8059	0.032	0.0461	0.0013	0.0202	0	0
1998	San Diego State University	25773	0.4392	0.0524	0.2168	0.0098	0.1326	0	0
1998	University of Arizona	25138	0.6961	0.027	0.1465	0.0242	0.0518	0	0
1998	University of Washington	25021	0.5712	0.0302	0.0406	0.0149	0.1178	0	0
1998	Pima Community College	24737	0.5741	0.0369	0.2842	0.0342	0.0424	0	0
1998	University of Central Florida	24357	0.746	0.0731	0.1049	0.0048	0.0234	0	0
1998	University of California (Los Angeles)	24101	0.3276	0.0541	0.155	0.0073	0.083	0	0
1998	University of Michigan	24015	0.6581	0.0862	0.042	0.0072	0.0939	0	0
1998	Florida State University	23808	0.7654	0.1197	0.0735	0.0042	0.0118	0	0
1999	Miami Dade College	42083	0.1055	0.2085	0.6431	0.0005	0.029	0	0
1999	The University of Texas at Austin	36164	0.6456	0.0345	0.138	0.0046	0.032	0	0
1999	Texas A&M University	36045	0.8135	0.0266	0.0942	0.0047	0.0281	0	0
1999	Ohio State University	35883	0.7949	0.0779	0.0182	0.0036	0.0511	0	0
1999	Michigan State University	33687	0.8156	0.0874	0.0239	0.0058	0.0272	0	0
1999	Pennsylvania State University	33209	0.8664	0.0407	0.0292	0.0014	0.011	0	0
1999	Arizona State University	32927	0.7165	0.0305	0.1064	0.0221	0.077	0	0
1999	Houston Community College System	32118	0.3508	0.2504	0.233	0.0028	0.0139	0	0
1999	Purdue University	31428	0.8549	0.0339	0.02	0.0052	0.0545	0	0
1999	University of Florida	30883	0.74	0.0727	0.1046	0.004	0.0148	0	0
1999	Brigham Young University	29916	0.8967	0.0028	0.0221	0.0059	0.0494	0	0
1999	University of Wisconsin–Madison	27869	0.8693	0.0204	0.0234	0.005	0.0389	0	0
1999	University of Illinois at Urbana-Champaign	27492	0.7127	0.0728	0.0541	0.0021	0.0275	0	0
1999	Indiana University (Bloomington)	27461	0.8692	0.0403	0.0192	0.0027	0.0392	0	0
1999	Rutgers University (New Brunswick)	27238	0.5662	0.0795	0.0762	0.0019	0.0954	0	0
1999	University of Minnesota (Twin Cities)	26968	0.8022	0.0391	0.02	0.0077	0.0514	0	0
1999	College of DuPage	26330	0.7908	0.0362	0.0508	0.0011	0.0249	0	0
1999	University of Central Florida	25749	0.7334	0.0763	0.107	0.0057	0.0297	0	0
1999	San Diego State University	25631	0.4452	0.049	0.211	0.0087	0.1399	0	0
1999	University of Arizona	25363	0.6923	0.0289	0.1457	0.0232	0.0547	0	0
1999	University of Washington	25346	0.559	0.0273	0.0383	0.0128	0.1391	0	0
1999	Florida State University	25040	0.7592	0.1232	0.0763	0.0044	0.0109	0	0
1999	University of South Florida	24787	0.7024	0.1063	0.0995	0.0038	0.0331	0	0
1999	Louisiana State University	24771	0.7911	0.0922	0.0237	0.0041	0.05	0	0
1999	University of California (Los Angeles)	24667	0.3376	0.0473	0.1461	0.006	0.0926	0	0
2000	Miami Dade College	46834	0.1142	0.208	0.6304	0.0004	0.0348	0	0
2000	Houston Community College System	40929	0.3346	0.2376	0.269	0.0032	0.0138	0	0
2000	City College of San Francisco	39386	0.264	0.086	0.1591	0.005	0.0845	0	0
2000	The University of Texas at Austin	38162	0.6378	0.034	0.135	0.0046	0.0393	0	0
2000	Northern Virginia Community College	37073	0.573	0.1517	0.0981	0.0189	0.0356	0	0
2000	Texas A&M University	36229	0.8149	0.0245	0.0911	0.0047	0.0311	0	0
2000	Ohio State University	35749	0.792	0.078	0.0192	0.0038	0.0523	0	0
2000	Pennsylvania State University	34406	0.8614	0.0395	0.0305	0.0012	0.0176	0	0
2000	Michigan State University	34342	0.805	0.0877	0.0243	0.0061	0.0327	0	0
2000	Arizona State University	33985	0.7146	0.0315	0.109	0.0214	0.0746	0	0
2000	University of Florida	32680	0.722	0.081	0.1071	0.0052	0.0178	0	0
2000	Purdue University	32669	0.8516	0.031	0.0196	0.004	0.0601	0	0
2000	University of Minnesota (Twin Cities)	31824	0.757	0.0396	0.018	0.0062	0.1003	0	0
2000	Community College of Southern Nevada	29905	0.5656	0.0958	0.1493	0.0112	0.0846	0	0
2000	University of Wisconsin–Madison	29697	0.8708	0.0205	0.0218	0.0047	0.0409	0	0
2000	Brigham Young University	29688	0.8942	0.0026	0.0226	0.0056	0.052	0	0
2000	Indiana University (Bloomington)	29383	0.8594	0.0392	0.0187	0.0025	0.049	0	0
2000	College of DuPage	28862	0.7232	0.0368	0.1014	0.0019	0.0258	0	0
2000	American River College	28420	0.6462	0.0809	0.1032	0.0217	0.0551	0	0
2000	University of Illinois at Urbana-Champaign	28414	0.6885	0.0689	0.056	0.0018	0.0552	0	0
2000	Mt. San Antonio College	28329	0.2468	0.06	0.3775	0.0066	0.0795	0	0
2000	University of Central Florida	28252	0.7227	0.0769	0.1088	0.0062	0.0369	0	0
2000	Pima Community College	28078	0.5356	0.0374	0.2766	0.0349	0.0857	0	0
2000	Rutgers University (New Brunswick)	27938	0.56	0.0817	0.0752	0.0019	0.0967	0	0
2000	Santa Monica College	27868	0.3281	0.1002	0.2393	0.0058	0.1803	0	0
2001	Miami Dade College	43447	0.0949	0.2063	0.6466	0.0003	0.0412	0	0
2001	The University of Texas at Austin	37655	0.6262	0.035	0.1358	0.0042	0.0389	0	0
2001	Texas A&M University	36571	0.8212	0.0243	0.0898	0.0051	0.0267	0	0
2001	Ohio State University	34586	0.789	0.0797	0.0206	0.0044	0.0518	0	0
2001	Arizona State University	34095	0.7145	0.0315	0.1076	0.0222	0.0731	0	0
2001	Pennsylvania State University	33505	0.8598	0.0404	0.0311	0.0012	0.0173	0	0
2001	University of Florida	32598	0.7207	0.0797	0.1074	0.0054	0.019	0	0
2001	Purdue University	31746	0.8475	0.0299	0.0198	0.0043	0.0607	0	0
2001	Brigham Young University	29815	0.8835	0.0029	0.025	0.0063	0.0562	0	0
2001	University of Central Florida	29726	0.7126	0.0785	0.1088	0.0067	0.0436	0	0
2001	Austin Community College	29322	0.6208	0.0665	0.2111	0.0092	0.0303	0	0
2001	Indiana University (Bloomington)	29125	0.8652	0.0408	0.0187	0.0021	0.0427	0	0
2001	University of Wisconsin–Madison	28446	0.8741	0.0218	0.0222	0.0048	0.0349	0	0
2001	San Diego State University	28042	0.4462	0.0425	0.2049	0.0075	0.153	0	0
2001	Rutgers University (New Brunswick)	27927	0.5615	0.0829	0.0791	0.0018	0.0814	0	0
2001	University of Illinois at Urbana-Champaign	27740	0.6996	0.0696	0.059	0.0019	0.0371	0	0
2001	California State University (Long Beach)	27723	0.3248	0.0656	0.2261	0.0058	0.1666	0	0
2001	University of Minnesota (Twin Cities)	27699	0.8024	0.0396	0.0189	0.0066	0.0498	0	0
2001	Michigan State University	27657	0.808	0.0861	0.0246	0.0056	0.0309	0	0
2001	University of South Florida	27385	0.6801	0.1209	0.1032	0.0041	0.0343	0	0
2001	Florida State University	26959	0.7418	0.1217	0.0889	0.0045	0.0149	0	0
2001	University of Arizona	26878	0.6851	0.0277	0.1449	0.0201	0.0642	0	0
2001	North Harris Montgomery Community College District	26624	0.651	0.1048	0.1535	0.0049	0.0323	0	0
2001	University of Washington	26577	0.5472	0.0259	0.0357	0.0112	0.1475	0	0
2001	College of DuPage	26349	0.7713	0.0409	0.0593	0.0014	0.0217	0	0
2002	Miami Dade College	47569	0.0926	0.2108	0.6469	0.0004	0.0386	0	0
2002	The University of Texas at Austin	38748	0.6164	0.0347	0.1381	0.0044	0.0389	0	0
2002	Texas A&M University	36743	0.8248	0.024	0.0898	0.0051	0.0242	0	0
2002	Austin Community College	35576	0.6046	0.068	0.2185	0.0093	0.0421	0	0
2002	Arizona State University	35573	0.7121	0.0322	0.1121	0.0221	0.0706	0	0
2002	Ohio State University	35447	0.7824	0.0816	0.0218	0.0046	0.0543	0	0
2002	Pennsylvania State University	33863	0.8521	0.0411	0.0319	0.0012	0.0205	0	0
2002	University of Florida	33094	0.712	0.0839	0.1123	0.0053	0.0174	0	0
2002	University of Central Florida	31808	0.7055	0.0819	0.1117	0.0064	0.0443	0	0
2002	Purdue University	31565	0.8372	0.0319	0.0213	0.0042	0.0623	0	0
2002	University of Phoenix (Online Campus)	30686	0.1438	0.0195	0.0116	0.0024	0.8159	0	0
2002	North Harris Montgomery Community College District	30188	0.6244	0.1065	0.1632	0.0041	0.0429	0	0
2002	Indiana University (Bloomington)	29768	0.8624	0.0385	0.0194	0.0019	0.0464	0	0
2002	Brigham Young University	29379	0.8738	0.004	0.0281	0.0069	0.0565	0	0
2002	University of South Florida	28738	0.675	0.1237	0.1078	0.0043	0.0313	0	0
2002	Florida State University	28583	0.7327	0.1205	0.0936	0.0039	0.0198	0	0
2002	University of Wisconsin–Madison	28363	0.8711	0.0232	0.0236	0.005	0.0319	0	0
2002	California State University (Long Beach)	28310	0.3219	0.0596	0.2278	0.006	0.1669	0	0
2002	University of Minnesota (Twin Cities)	28103	0.8044	0.042	0.0189	0.0064	0.0452	0	0
2002	San Diego State University	28004	0.4462	0.0415	0.2036	0.0071	0.1551	0	0
2002	Michigan State University	27902	0.8013	0.0858	0.0252	0.0065	0.0327	0	0
2002	University of Illinois at Urbana-Champaign	27879	0.6932	0.0711	0.0608	0.0021	0.0411	0	0
2002	Rutgers University (New Brunswick)	27539	0.561	0.0837	0.0789	0.0021	0.0752	0	0
2002	University of Arizona	27539	0.6756	0.0293	0.1468	0.0188	0.0744	0	0
2002	College of DuPage	26796	0.7659	0.0439	0.0624	0.0018	0.0199	0	0
2003	Miami Dade College	51901	0.089	0.2174	0.6455	0.0005	0.0374	0	0
2003	University of Phoenix (Online Campus)	47400	0.4292	0.0839	0.0448	0.007	0.4167	0	0
2003	The University of Texas at Austin	37480	0.6053	0.0366	0.1441	0.0039	0.0391	0	0
2003	Arizona State University	37336	0.7032	0.0355	0.1191	0.0232	0.0669	0	0
2003	Ohio State University	36224	0.7845	0.0801	0.023	0.0043	0.0527	0	0
2003	Texas A&M University	36021	0.8246	0.0237	0.0934	0.005	0.0221	0	0
2003	Michigan State University	34617	0.7896	0.0874	0.0273	0.0068	0.0349	0	0
2003	North Harris Montgomery Community College District	34390	0.6017	0.1104	0.1726	0.0044	0.0582	0	0
2003	University of Central Florida	34064	0.6939	0.0829	0.1179	0.0055	0.0505	0	0
2003	Pennsylvania State University	34056	0.8465	0.0418	0.0326	0.0009	0.0227	0	0
2003	University of Florida	33455	0.7019	0.0856	0.1198	0.0053	0.0182	0	0
2003	Purdue University	31596	0.8309	0.0337	0.0227	0.0042	0.062	0	0
2003	University of South Florida	31166	0.6685	0.1271	0.1093	0.0049	0.0314	0	0
2003	Austin Community College	30638	0.6042	0.0718	0.2177	0.0087	0.0447	0	0
2003	Brigham Young University	29932	0.8691	0.0044	0.0316	0.0071	0.0565	0	0
2003	Indiana University (Bloomington)	29768	0.8583	0.0391	0.02	0.0021	0.0487	0	0
2003	Florida State University	29129	0.7327	0.1175	0.0993	0.0039	0.0162	0	0
2003	University of Minnesota (Twin Cities)	28747	0.794	0.0438	0.0198	0.0063	0.0465	0	0
2003	California State University (Long Beach)	28338	0.3279	0.0597	0.2363	0.0062	0.1571	0	0
2003	Tarrant County College District	28296	0.6352	0.1413	0.1527	0.0072	0.0085	0	0
2003	University of Illinois at Urbana-Champaign	28230	0.6807	0.0756	0.064	0.0026	0.0492	0	0
2003	University of Wisconsin–Madison	28217	0.865	0.0239	0.0242	0.0053	0.0338	0	0
2003	University of Washington	27962	0.5286	0.0261	0.0352	0.0103	0.1545	0	0
2003	University of Arizona	27764	0.6659	0.0296	0.1489	0.0187	0.0802	0	0
2003	California State University (Fullerton)	27071	0.3299	0.0294	0.2548	0.0061	0.154	0	0
2004	University of Phoenix (Online Campus)	75851	0.4408	0.0955	0.0492	0.0073	0.3873	0	0
2004	Miami Dade College	50665	0.0868	0.2152	0.65	0.0004	0.0367	0	0
2004	Arizona State University at the Tempe Campus	38117	0.6969	0.0358	0.1219	0.0231	0.07	0	0
2004	The University of Texas at Austin	36478	0.5961	0.0378	0.152	0.0042	0.0376	0	0
2004	Ohio State University	36097	0.7878	0.0773	0.0244	0.004	0.0517	0	0
2004	Texas A&M University	35672	0.8181	0.0234	0.101	0.0054	0.0194	0	0
2004	North Harris Montgomery Community College District	35648	0.577	0.1123	0.1822	0.0042	0.0717	0	0
2004	Austin Community College	35622	0.6013	0.0727	0.2286	0.0075	0.0411	0	0
2004	Michigan State University	35107	0.7901	0.0838	0.0277	0.0067	0.0368	0	0
2004	University of Central Florida	34890	0.6908	0.0842	0.1246	0.0052	0.0455	0	0
2004	Pennsylvania State University	33958	0.8449	0.0415	0.0322	0.001	0.0231	0	0
2004	University of Florida	33129	0.6981	0.0872	0.1215	0.0044	0.0193	0	0
2004	University of South Florida	32458	0.6587	0.1255	0.1063	0.0043	0.0493	0	0
2004	Purdue University	31594	0.8292	0.0344	0.0241	0.0045	0.0588	0	0
2004	Brigham Young University	30617	0.8272	0.0045	0.033	0.0071	0.0976	0	0
2004	Florida State University	29820	0.7256	0.1172	0.1047	0.0038	0.0194	0	0
2004	Indiana University (Bloomington)	29062	0.8478	0.0416	0.022	0.0023	0.0543	0	0
2004	University of Illinois at Urbana-Champaign	28931	0.6819	0.0685	0.0641	0.0025	0.0538	0	0
2004	University of Minnesota (Twin Cities)	28740	0.7929	0.0446	0.0203	0.0066	0.0433	0	0
2004	Tarrant County College District	28676	0.6232	0.1443	0.155	0.0061	0.0167	0	0
2004	University of Arizona	27853	0.6554	0.0306	0.1522	0.0193	0.0861	0	0
2004	University of Wisconsin–Madison	27852	0.8586	0.0247	0.0265	0.006	0.0339	0	0
2004	California State University (Long Beach)	27386	0.3262	0.0578	0.2436	0.0065	0.1496	0	0
2004	California State University (Fullerton)	27335	0.328	0.031	0.2617	0.0057	0.1493	0	0
2004	Broward College	27035	0.316	0.2926	0.2215	0.0024	0.136	0	0
2005	University of Phoenix (Online Campus)	70845	0.4815	0.1114	0.0581	0.0087	0.3143	0	0
2005	Western International University	49837	0.5337	0.1666	0.08	0.0121	0.1921	0	0
2005	Miami Dade College	48361	0.0864	0.2049	0.6534	0.0005	0.0435	0	0
2005	North Harris Montgomery Community College District	39771	0.5547	0.1128	0.1891	0.0037	0.0828	0	0
2005	Arizona State University at the Tempe Campus	39649	0.6877	0.0372	0.126	0.024	0.0716	0	0
