Year	Stanford University	Harvard University	Yale University	Princeton University	University of California at Berkeley	University of Chicago	University of Michigan at Ann Arbor	Cornell University	University of Illinois at Urbana-Champaign	Massachusetts Institute of Technology	Dartmouth College	California Institute of Technology	Rice University	Johns Hopkins University	Brown University	Northwestern University	Washington University in St. Louis	Columbia University	Duke University	University of North Carolina at Chapel Hill	University of Pennsylvania
Location	Stanford, CA	Cambridge, MA	New Haven, CT	Princeton, NJ	Berkeley, CA	Chicago, IL	Ann Arbor, MI	Ithaca, NY	Champaign, IL	Cambridge, MA	Hanover, NH	Pasadena, CA	Houston, TX	Baltimore, MD	Providence, RI	Evanston, IL	St. Louis, MO	New York, NY	Durham, NC	Chapel Hill, NC	Philadelphia, PA
1983	1	2	3	4	5	6	7	8	8	10	10	12	100	100	100	100	100	100	100	100	100
1984	1	2	3	4	5	6	7	8	8	10	10	12	100	100	100	100	100	100	100	100	100
1985	1	2	2	4	7	5	100	100	100	100	10	100	100	100	7	100	100	100	6	9	100
1986	1	2	2	4	7	5	100	100	100	100	10	100	100	100	7	100	100	100	6	9	100
1987	1	2	2	4	7	5	100	100	100	100	10	100	100	100	7	100	100	100	6	9	100
1988	1	2	3	4	5	8	8	11	20	11	6	21	14	16	10	17	23	18	7	11	19
1989	6	4	1	2	24	10	25	14	100	5	7	3	9	11	13	16	19	8	12	23	15
1990	6	3	1	2	13	9	17	11	100	7	8	4	10	14	15	19	22	11	5	18	20
1991	2	1	3	4	13	11	21	9	100	6	8	5	16	15	12	23	24	10	7	20	13
1992	3	1	2	4	16	10	22	12	100	6	8	4	15	11	17	14	18	9	7	25	13
1993	4	1	3	2	16	9	24	11	100	5	7	5	12	15	18	13	20	10	7	100	14
1994	6	1	3	2	19	9	23	10	100	4	8	5	14	15	12	13	18	11	7	100	16
1995	5	1	3	2	23	10	21	15	100	4	8	7	12	22	11	14	20	9	6	100	12
1996	4	1	2	2	26	11	24	13	45	5	7	7	16	10	9	13	20	15	6	27	11
1997	6	3	1	2	27	12	24	14	50	5	7	9	16	15	8	9	17	11	4	25	13
1998	5	1	3	1	23	14	23	14	45	6	7	9	17	14	9	9	17	9	3	27	7
1999	4	1	1	1	22	14	25	6	42	4	10	9	18	14	10	10	16	10	6	24	6
2000	6	2	4	4	20	13	25	11	34	3	11	1	14	7	14	14	17	10	7	27	7
2001	6	2	2	1	20	10	25	10	41	5	9	4	13	15	15	13	15	10	8	25	6
2002	5	2	2	1	20	9	25	14	36	5	9	4	12	16	16	12	14	9	8	28	5
2003	4	2	2	1	20	12	25	14	38	4	9	4	15	15	17	10	12	10	4	28	4
2004	5	1	3	1	21	13	25	14	40	4	9	5	16	14	17	11	9	11	5	29	5
2005	5	1	3	1	21	14	22	14	37	5	9	8	17	14	13	11	11	9	5	29	4
2006	5	1	3	1	20	15	25	13	42	7	9	7	17	13	15	12	11	9	5	27	4
2007	4	2	3	1	21	9	24	12	41	4	9	4	17	16	15	14	12	9	8	27	7
2008	4	2	3	1	100	9	100	100	100	7	11	5	100	14	100	100	100	100	8	100	5
2009	4	1	3	2	100	8	100	100	100	4	11	6	100	15	100	100	100	100	8	100	6
2010	4	1	3	1	100	8	100	100	100	4	11	4	100	14	100	100	100	100	10	100	4
2011	5	1	3	2	100	9	100	100	100	7	9	7	100	13	100	100	100	100	9	100	5
2012	5	1	3	1	100	5	100	100	100	5	11	5	100	13	100	100	100	100	10	100	5
2013	6	1	3	1	100	4	100	100	100	6	10	10	100	13	100	100	100	100	8	100	8
2014	5	2	3	1	100	5	100	100	100	7	10	10	100	12	100	100	100	4	7	100	7
2015	4	2	3	1	100	4	100	100	100	7	11	10	100	12	100	100	100	4	8	100	8
2016	4	2	3	1	100	4	100	100	100	7	100	10	100	10	100	100	100	4	8	100	9
2017	5	2	3	1	100	3	100	100	100	7	100	100	100	10	100	100	100	5	8	100	8
2018	5	2	3	1	100	3	100	100	100	5	100	10	100	100	100	100	100	5	9	100	8
2019	7	2	3	1	100	3	100	100	100	3	100	100	100	10	100	100	100	3	8	100	8
2020	6	2	3	1	100	6	100	100	100	3	100	100	100	100	100	9	100	3	10	100	6
2021	6	2	4	1	100	6	100	100	100	4	100	9	100	9	100	100	100	3	100	100	8